Waterbody,County,StockSched,Designatio,RainbowTro,BrownTrout,BrookTrout,Notes,HeritageDa,NationalFo,NoFallStoc,FWVA_Trout,FWVA_Rainb,FWVA_Brown,FWVA_Brook,FWVA_Wild,GlobalID
"Naked Creek, SB",Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{768AB342-4039-4E09-8DF1-35C794C03810}
Big Run,Rockingham,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{91231D98-6B0B-4961-B127-102B4217A3AC}
North River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{10AD855C-9DF5-4B93-88B9-B87CE75555FD}
North River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{89734378-0742-4BB5-A988-70F74D1CE39A}
Jeremys Run,Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9E217C08-C287-450F-9EE6-CAC7565FB49A}
"Naked Creek, SB",Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{E87A97E0-2C9C-494E-880D-572923A147F2}
Laurel Fork,Highland,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{EE175E27-0319-4E06-9A78-1FE8AD298B94}
Meadow Run,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{1E0E75DA-4D8D-474A-9065-7A66BFDB10CC}
Big Ugly Run,Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{28F14273-2FE8-416B-88C7-70A956A821E6}
Mills Creek,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{2894EB45-64F7-482E-A20D-08DED5C08540}
Dry River,Rockingham,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{30800798-E28C-4540-8B03-14BDED5BCA19}
Paine Run,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{93E6A664-2811-41DC-9882-329E9082E5F0}
Madison Run,Rockingham,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{1487BDB8-D528-40D6-B333-213B9E98573F}
"Naked Creek, SB",Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{B47B2BC8-0737-4AFB-94B1-1652154EDEC6}
Dry River,Rockingham,B,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{34588171-B805-458C-B06F-F70555D3FCB3}
North River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9CB94425-E68E-45E0-81F8-16956C4CBC04}
Little Stony Creek,Shenandoah,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{33D6EB0F-E142-4B73-9ED0-94F52A267823}
North River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{A32209EB-22C2-448C-87EB-87ED82EE24FF}
Simpson Creek,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{4831A397-618D-47BD-8CBB-CA1FDC4733D8}
Little Passage Creek,Shenandoah,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{7016C399-BC37-41EE-B3E4-74D3F65BF4E7}
Little Back Creek,Bath,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9E7228AB-FFE0-4196-99D1-E40F31A6CA97}
Pounding Mill Creek,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{09914CC7-FD53-4644-BE02-3D517CF8F125}
Guys Run,Rockbridge,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{39226687-79ED-46D0-98B9-81583DEBE05E}
Middle Creek,Botetourt,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{4FF38CDF-5F9A-4A0A-A9F0-8B1309F7AF07}
Shawvers Run,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{80E34BD0-C63B-4790-8B57-F5D0B4640CE0}
Little Stony Creek,Shenandoah,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{E5F42F8F-8E20-4BAA-B835-D4C13137F5D2}
Barbours Creek,Craig,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{162CCCE1-2C24-43EE-B38D-3D9983338038}
South Buffalo Creek,Rockbridge,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{64A75994-AA1B-4636-B4B9-3E395970A795}
Johns Creek,Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{7A760B6D-B775-4C02-B81C-527A9B6BB08F}
Barbours Creek,Craig,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9E8EC306-08EC-4778-B509-403275DB241A}
Benson Run,Highland,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{F185395C-7EAD-4B3C-836E-C1F5CB71E654}
"Ramseys Draft, R. Prong",Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{D4A03F4F-3DBD-42C4-840E-D6B00CD53FF3}
St. Marys River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{92D207AF-C842-4F66-AD70-7684243FF3BC}
Barbours Creek,Craig,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{A3D59F30-7C99-42C7-BC6F-C6863AB2AE69}
"Ramseys Draft, L. Prong",Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{8C674188-E9B5-41B7-BEB1-1A13DC254BED}
Piney River,Rappahannock,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{918F7E34-6FAB-4675-B95F-83C3ACF0DFC4}
Robinson River,Madison,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9E3D6AC7-1098-4A51-8D48-E1136DF859FB}
Smith Creek,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{69119774-3113-4D8C-BEE2-B61D78D183BD}
Hughes River,Madison,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{570D66E8-3F33-480F-ADAB-708AFD9928C9}
"Thorton River, NF",Rappahannock,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{CFF8FFE1-4F6C-4A14-9938-9AD7C80D9B33}
Hazel River,Rappahannock,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{C38DFC76-DCA8-41FA-ADA8-4866116CFBB5}
