ID,latitude,longitude,bike_age,crash_time,crash_year,drvr_age
1,35.9100670923,-79.0745027481,70,10:12:00 AM,2011,70
2,35.9180020935,-79.0745267483,27,09:44:00 PM,2009,23
3,35.9121320931,-79.062517744,20,09:54:00 AM,2008,22
4,35.9303770979,-79.0252027339,33,10:50:00 AM,2012,70
5,35.9126920935,-79.0489927399,19,07:25:00 PM,2010,21
6,35.9227900944,-79.0888327525,33,12:09:00 PM,2008,70
7,35.9050570922,-79.0480067394,21,06:48:00 PM,2007,38
8,35.9160570939,-79.0480067397,22,11:09:00 PM,2007,48
9,35.9361370985,-79.0355427373,12,03:24:00 PM,2008,49
10,35.917644093,-79.0942627539,29,11:26:00 AM,2008,52
11,35.9107670925,-79.0691027466,24,10:44:00 PM,2012,26
12,35.9117270925,-79.0624127445,25,12:04:00 PM,2009,54
13,35.9159370933,-79.0644027448,0,06:27:00 PM,2012,27
14,35.9219670942,-79.0718527471,23,08:06:00 PM,2008,57
15,35.920493095,-79.0517427412,20,09:56:00 AM,2008,22
16,35.9116570929,-79.0626027443,54,05:25:00 PM,2012,31
17,35.8802220881,-78.9966427226,53,05:41:00 PM,2009,22
18,35.9292600975,-79.0340327369,8,02:42:00 PM,2009,32
19,35.9086970921,-79.0483027393,18,05:13:00 PM,2012,62
20,35.935097099,-79.0294127358,12,05:16:00 PM,2008,22
21,35.9374800989,-79.0503227415,10,03:13:00 PM,2010,21
22,35.9109370928,-79.0673027457,51,02:09:00 PM,2011,42
23,35.9156790936,-79.0573827427,25,09:55:00 PM,2008,20
24,35.9021470911,-79.0442727384,21,10:52:00 AM,2009,40
25,35.9110100003,-79.072,37,07:03:00 PM,2013,20
26,35.9085270923,-79.0529027408,18,10:41:00 AM,2012,26
27,35.9125000004,-79.0721999998,57,08:19:00 AM,2013,66
28,35.9106740925,-79.0542627417,21,04:15:00 PM,2009,22
29,36.0331300003,-78.9735000002,45,08:49:00 PM,2013,26
30,35.9130010937,-79.0478327403,54,07:46:00 AM,2009,67
31,35.9326740986,-79.0112527299,48,06:01:00 PM,2008,70
32,35.9123220924,-79.0779427486,30,10:47:00 PM,2008,43
33,35.9073970913,-79.0631527442,26,11:13:00 AM,2010,59
34,35.9271500975,-79.0274077347,21,10:54:00 PM,2010,55
35,35.9118040928,-79.0595927434,27,06:07:00 PM,2008,21
36,35.9118870925,-79.0587027427,16,03:00:00 PM,2011,19
37,35.9045470908,-79.0647027444,19,01:55:00 PM,2012,60
38,35.9070700915,-79.0638927439,21,07:49:00 AM,2010,47
39,35.9117170925,-79.0593027432,24,04:23:00 PM,2012,22
40,35.9073770935,-79.0209027318,39,04:33:00 PM,2011,54
41,35.9142830941,-79.0527067414,13,03:13:00 PM,2009,44
42,35.9047850933,-79.0119027289,70,07:25:00 AM,2009,25
43,35.9111440925,-79.0637527441,38,04:58:00 PM,2010,68
44,35.9117770926,-79.0595887438,18,06:31:00 PM,2008,23
45,35.9050070926,-79.01642273,30,06:33:00 PM,2010,35
46,35.9464471017,-79.0089027296,26,03:20:00 AM,2008,34
47,35.9397000987,-79.0546827436,32,07:03:00 PM,2010,61
48,35.918262094,-79.0589777438,12,04:04:00 PM,2007,22
49,35.9004070914,-79.0408027366,19,03:27:00 PM,2012,26
50,35.8452220778,-79.0903127495,18,05:35:00 PM,2008,36
51,35.9638401042,-79.0581327461,22,04:23:00 PM,2010,54
52,35.9351000002,-79.0561999998,12,06:56:00 PM,2013,18
53,35.9141340939,-79.045082739,27,12:07:00 PM,2009,22
54,35.9032130918,-79.0479327393,20,03:34:00 PM,2010,27
55,35.9089399998,-79.0588999998,23,06:49:00 PM,2013,21
56,35.9097320913,-79.0904327522,42,07:52:00 AM,2007,58
57,35.9101470919,-79.073202747,29,05:58:00 PM,2012,16
58,35.9086970922,-79.0499327405,21,05:28:00 PM,2008,24
59,35.9228770955,-79.055002742,35,04:03:00 PM,2012,22
60,35.9099230922,-79.056212742,53,08:04:00 AM,2007,34
61,35.9110410921,-79.0661427454,51,03:32:00 PM,2009,61
62,35.9254300002,-79.0246999995,0,04:48:00 PM,2013,44
63,35.9174070924,-79.0941027536,54,07:58:00 AM,2011,49
64,35.9112170925,-79.0605027439,28,10:51:00 PM,2011,19
65,35.910947092,-79.0670027453,57,03:29:00 PM,2012,58
66,35.9117199998,-79.0622000001,24,07:00:00 PM,2013,23
67,35.9304670971,-79.0549027427,23,10:07:00 AM,2011,28
68,35.9174,-79.0612000005,20,10:45:00 AM,2013,53
69,35.9054200003,-79.0162999997,64,10:28:00 AM,2013,60
70,35.9276870969,-79.0301727355,63,09:32:00 AM,2010,58
71,35.915260094,-79.0568027424,28,06:32:00 PM,2010,26
72,35.9098670932,-79.04728274,39,07:56:00 AM,2008,36
73,35.9037570912,-79.0527027412,60,11:00:00 AM,2011,59
74,35.9075230917,-79.062782744,13,05:42:00 PM,2009,34
75,35.9207670937,-79.0860027521,22,05:45:00 PM,2012,20
76,35.916887094,-79.0459027398,24,04:39:00 PM,2012,70
77,35.943357102,-78.9831927216,22,11:51:00 PM,2009,26
78,35.8830070866,-79.0698267451,9,07:35:00 AM,2009,43
79,35.908867092,-79.0593027431,21,12:23:00 PM,2011,52
80,35.9037740898,-79.0911627523,19,03:46:00 PM,2008,64
81,35.8849140869,-79.0670877444,8,03:42:00 PM,2008,48
82,35.9052040917,-79.0551127419,34,05:24:00 PM,2007,39
83,35.9666511079,-78.9674927182,52,08:25:00 PM,2007,20
84,36.0326531213,-78.9825627263,41,07:23:00 PM,2007,41
85,35.9486699999,-78.9689000002,15,06:50:00 PM,2013,30
86,35.9116930924,-79.0622527444,27,08:34:00 PM,2008,21
