oid,gid,pop,labor,unemp,unemppct,blackunemppct,asianunemppct,whiteunemppct,hispanicunemppct,shapearea,shapelen
1,1382468,104,90,58,14.8,,,7.8,47.1,25407635.1030273,30211.9245840078
2,1343668,90,66,54,29,73.5,,4.6,306.4,34481649.8500977,42796.1264558909
3,1327988,407,340,77,4,15.4,,3.6,13.3,150660244.028076,90021.9806890978
4,1354656,82,71,55,17.4,15.3,,7.5,183.8,45009824.317627,25176.3458884036
5,1332860,46,49,53,47.1,,1838.5,8.4,,39819436.1530762,60037.9750937391
6,1378324,1305,1027,451,4.8,4.1,169.7,56.4,17.1,544196107.000244,505363.934642096
7,1371660,450,422,107,4.9,6.7,,3.2,11.1,434174509.696045,176458.557810632
8,1362244,162,126,65,9.6,8.1,612.8,8.5,,65614522.9372559,85453.5667356336
9,1320064,715,629,201,3.2,5.3,18.9,3.4,16.2,431548186.156494,245374.990955999
10,1358744,266,157,65,6.9,16.8,30.1,4.6,48.4,60949146.6237793,71558.6996265519
11,1311784,821,724,159,2.2,6.5,34.3,2.2,1.2,472078371.11084,538894.463481219
12,1328380,1274,1055,308,4.1,4.7,,5.3,5.2,474802275.023438,244467.888512519
13,1310104,62,50,52,29.6,306.4,306.4,4,153.2,111060449.328857,41982.7457747764
14,1316796,100,88,55,10.1,,,3.9,108.3,80819025.8679199,105422.365490802
15,1336276,619,540,163,4.4,5.3,54.2,1.4,26.6,153185231.205566,95549.1148360834
16,1353620,195,163,75,7.1,66.9,229.8,5,25.2,255958167.436523,99684.3735784657
17,1328968,699,593,181,2.2,3.9,3.3,2.9,7.9,357127583.144775,340121.839877379
18,1384288,50,49,57,76.7,,919.2,19.4,919.2,23401813.8041992,22856.0879766607
19,1349616,59,43,51,33.1,262.6,,10.4,,29265619.1560059,29241.9633014861
20,1375664,38,35,57,62.4,,,15,,41599144.4638672,22886.4037810371
21,1330340,440,380,123,3.3,20.7,41.7,2,11.9,178529464.330811,242328.1999884
22,1359724,835,718,232,1.4,8.6,4.3,1.5,5.7,711593333.335938,165162.476889497
23,1354572,152,135,60,8,,,2.7,183.8,40592538.7182617,43319.6297352626
24,1311056,53,45,55,22.7,306.4,1838.5,2,306.4,124909549.811035,54140.0035765218
25,1335324,781,673,223,2.4,3.7,130.5,1.8,5.1,391606073.38208,247180.437673896
26,1304140,412,344,103,2.7,8.1,12.5,3.1,6.4,183846230.609863,239122.160645213
27,1342604,329,224,100,6.7,9.4,32.3,6.8,22.8,70623237.2805176,60583.0972283715
28,1353004,590,489,133,3.5,5.4,3.9,6.2,5.4,93217202.2451172,76388.849611396
29,1365464,771,629,277,3.3,3.7,6.9,12.9,6.2,126497032.514893,136341.685626694
30,1347896,200,181,54,3.9,10,32.8,3.4,8,116802659.091064,149213.339280595
31,1374572,55,51,58,93.8,,,31.2,612.8,5644892.86132813,8690.63971713702
32,1313184,46,43,58,65.3,153.2,,23.9,,30756821.9431152,37113.2050183249
33,1323900,1029,874,445,2.7,3.1,6.7,6.9,7.4,624132747.50708,695268.594939401
34,1348624,1059,874,294,2.6,4,25.3,3.4,4.6,355822712.817871,364505.147828757
35,1382720,96,80,48,14.4,13,,6.7,,70089860.9616699,44946.4136314025
36,1320932,384,340,128,4.3,36.4,13.3,3.9,6.5,162743154.460938,122770.435046281
37,1307640,44,44,55,43.7,130.2,,12.6,306.4,33802149.5932617,34831.3656643687
38,1333896,91,56,58,52.9,262.6,,17.8,,52089543.657959,31629.8902448816
39,1379528,746,615,246,3.3,5.1,10.1,4.3,25.7,406874394.692871,243200.971428122
40,1366696,52,49,54,39.3,108.1,,12.4,,22019888.6186523,21867.2098452972
41,1310076,512,419,88,2.1,3.9,11.5,1.6,10.1,339038879.228271,293277.089195591
42,1344508,257,177,59,5,6.3,6.1,6.9,18.4,51354866.361084,44954.8918897509
43,1330536,848,708,259,2.7,5,4.1,4.6,3.5,262167489.656738,150625.637792026
44,1379948,155,65,73,29.2,56.5,,12.1,72.3,41067876.6662598,52477.1365197003
45,1353172,78,71,53,12.2,265.3,,5.9,83.6,14439101.8305664,18445.4118445647
46,1336472,678,605,137,4.1,4.7,46.3,6.6,13.5,66092956.795166,38841.9672839422
47,1368516,2068,1881,455,0.8,2.3,1.5,0.7,2,1081733980.32349,226422.733134116
48,1301696,1478,1238,343,1,4.9,2.1,1.3,3.2,759540885.787598,265240.060900612
49,1358884,523,374,207,8.3,11.8,110.7,14,5,332589068.749756,281885.942710362
50,1342425,1650,1421,485,1.1,4.4,2.6,1.4,3.1,875127602.753418,207592.698862183
51,1317776,747,602,254,3.5,4.1,565.7,3.1,6.5,298697473.074707,180664.457611274
52,1351670,1258,1102,261,1.4,5.8,4.1,1.3,3.5,1091740682.76929,259019.197220685
53,1325720,1176,971,320,1.7,1.9,13.2,2.8,3.5,410456537.987061,166758.215168157
54,1367284,1775,1613,335,0.7,2,2.4,0.7,2.1,1163417295.5376,319108.701023452
55,1373312,261,222,58,4.4,7.6,70.7,3.7,9,98240306.1379395,58885.0003288945
56,1336528,40,41,56,77.6,612.8,919.2,30.4,,19560250.8151855,39138.5912367866
