Park Name	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Average	latitude	longitude
Acadia NP	0	0	0	0	0	0	1157	1306	1091	1229	1037	974	1157	1316	1166	1230	1233	1324	1597	1472	864	44.34447	-68.062951
Arches NP	817	643	414	402	341	378	471	286	277	366	808	923	1192	851	953	1211	1208	1174	65	368	657	38.6165504	-109.6161575
Badlands NP	911	859	692	540	384	879	654	397	710	613	1410	1658	1578	979	1429	1419	1445	1410	2433	2926	1166	43.817928	-102.360981
Big Bend NP	40059	32675	28826	30418	29399	29720	28239	22668	21146	19306	20727	22712	16254	15648	19378	24723	32435	41793	42555	23858	27127	29.250201	-103.250452
Black Canyon of the Gunnison NP	1597	2456	1729	1884	2037	1782	1635	1829	1705	1259	1412	1146	631	666	575	390	1090	1936	1708	2088	1478	38.5691986	-107.7203445
Canyonlands NP	72148	71411	70745	62365	64009	65281	69708	59478	64750	68810	62595	61368	60557	58546	60691	77518	74388	86227	82188	78375	68558	38.166652	-109.984017
Capitol Reef NP	2272	2735	1721	1646	1226	1477	1544	1158	1136	1435	1453	1652	1504	1810	1981	2081	2593	2996	3813	4048	2014	38.291481	-111.2613297
Carlsbad Caverns NP	257	140	157	162	160	155	137	95	93	86	114	170	107	151	176	146	135	251	202	184	154	32.1750298	-104.4443207
Channel Islands NP	9459	10227	10326	13338	15318	17086	19174	17692	17801	16949	20197	37071	22831	19785	20032	23068	23326	22885	22934	21463	19048	49.2114143	-2.133456
Congaree NP	288	631	454	439	212	477	490	686	795	1084	861	1174	1176	867	579	460	387	286	1424	1023	690	33.8296242	-80.82341
Crater Lake NP	1258	1482	2009	1464	1500	1830	1142	1095	1442	1349	1852	1815	1925	2066	3022	2929	3253	4706	2851	2584	2079	42.9411163	-122.1328812
Denali NP & PRES	36026	32579	35301	24115	33170	34016	30833	28623	30919	31621	29855	38625	39914	41685	37862	38443	35785	49309	32887	23748	34266	63.0695343	-151.0046082
Everglades NP	20237	19868	23411	22997	22485	18744	15436	9610	12075	17090	13062	12991	11546	8456	6437	5875	15961	12726	17393	4391	14540	25.312897	-80.937293
Gates of the Arctic NP & PRES	6282	0	1366	2655	4293	5345	4383	6040	5461	6274	4638	7175	6576	5708	7646	6166	9473	7971	6355	7561	5568	67.7404099	-153.3029022
Glacier Bay NP & PRES	7149	6568	7504	0	7815	8671	4630	4674	5200	5888	4541	6122	4736	5381	4018	6303	6254	6161	5986	5840	5672	58.6771164	-136.2265167
Glacier NP	26209	25010	28915	27076	22958	27640	27025	26002	27993	26867	40855	30680	25715	26634	29132	29869	32797	38421	34011	32349	29308	48.6970482	-113.719841
Grand Canyon NP	154478	181998	250876	241738	244271	255617	238381	244413	282663	314304	276150	295949	291833	300418	234878	269236	293866	330703	312503	337790	267603	36.055539	-112.139614
Grand Teton NP	32169	32332	32700	31975	12949	27752	22424	26858	29906	27521	30731	30597	28216	30214	30157	29524	33798	36206	40193	38803	30251	43.833269	-110.700767
Great Basin NP	265	294	211	200	148	355	191	304	420	392	445	613	674	638	691	1063	1017	1067	403	280	484	38.915135	-114.186903
Great Sand Dunes NP & PRES	1404	1367	1982	1470	2122	1808	1804	1651	2309	2119	2355	2171	2201	2613	2300	3405	3754	4508	4313	4475	2507	37.7231598	-105.5206757
Great Smoky Mountains NP	92994	80654	76919	77816	73124	73787	69985	70193	70215	71381	79182	79480	90444	84236	70407	86153	97629	109349	104352	97593	82795	35.6882591	-83.5372849
Guadalupe Mountains NP	3399	3085	2853	2919	2795	2263	2035	2487	1855	2579	2405	2494	2235	1742	3621	3188	2507	2954	3896	3509	2741	39.78373	-100.445882
Haleakala NP	2317	2309	2705	1877	1562	1416	1395	1324	1521	1480	1671	1260	1562	1587	628	1375	2205	2392	2877	2876	1817	20.7127342	-156.256546
Hawaii Volcanoes NP	4527	3764	3715	4169	5691	5070	4448	5345	4215	4729	5236	4501	4235	4466	4660	4621	4903	5178	4755	2145	4519	19.4289303	-155.2532196
Isle Royale NP	44028	40157	49077	40389	40069	36706	36889	35439	35400	32289	28864	34116	34221	33808	32343	29662	30072	22604	21693	24758	34129	48.002063	-88.841105
